onset	duration	list	word	memory_cue
27.10615258	3	A	WITCH	forget
35.11415692	3	A	GIANT	forget
41.11448189	3	A	MOTOR	forget
47.11250838	3	A	ARTIST	forget
53.10446467	3	A	JELLY	forget
59.11328845	3	A	POST	forget
65.11303246	3	A	HAIR	forget
71.11253617	3	A	WIZARD	forget
77.11311519	3	A	BLADE	forget
83.1124981	3	A	DRILL	forget
89.11305629	3	A	FEVER	forget
95.11283519	3	A	STABLE	forget
101.1135968	3	A	SLAVE	forget
107.1124608	3	A	OIL	forget
113.1127888	3	A	RUBBLE	forget
119.1127845	3	A	BOTTLE	forget
133.1134912	3	B	GIFT	n/a
139.1126077	3	B	FARM	n/a
145.1127943	3	B	TEMPLE	n/a
151.1139012	3	B	CABIN	n/a
157.1129234	3	B	DIVING	n/a
163.1129152	3	B	TEST	n/a
169.1129883	3	B	VEHICLE	n/a
175.1134917	3	B	FORT	n/a
181.1129876	3	B	PRISON	n/a
187.1133366	3	B	ENGINE	n/a
193.1127728	3	B	DRINK	n/a
199.1128309	3	B	RIFLE	n/a
205.113033	3	B	THROAT	n/a
211.1127747	3	B	SALTY	n/a
217.1133807	3	B	TRIAL	n/a
223.1129332	3	B	DIVE	n/a
