onset	duration	list	word	memory_cue
23.3053438	3	A	BLONDE	forget
29.3048885	3	A	POUND	forget
35.30567669	3	A	LION	forget
41.30621542	3	A	TABLE	forget
47.3047687	3	A	POLIO	forget
53.30653893	3	A	CHINA	forget
59.30548721	3	A	JUDGE	forget
65.30589267	3	A	CASH	forget
71.30496055	3	A	GLOBE	forget
77.30467569	3	A	WEAPON	forget
83.30583178	3	A	SPHERE	forget
89.31286351	3	A	DOLLAR	forget
95.30549694	3	A	RAIL	forget
101.3070043	3	A	SPRING	forget
107.3051887	3	A	RUSTY	forget
113.3127993	3	A	AERIAL	forget
127.3058518	3	B	MARKET	n/a
133.3055812	3	B	CORNER	n/a
139.3143472	3	B	WIDOW	n/a
145.3131102	3	B	DANCE	n/a
151.3134434	3	B	MENU	n/a
157.3055755	3	B	POOL	n/a
163.3138818	3	B	PERSON	n/a
169.313193	3	B	FRAME	n/a
175.3130223	3	B	LADY	n/a
181.3134588	3	B	SILVER	n/a
187.3131061	3	B	CATTLE	n/a
193.3133542	3	B	PAPER	n/a
199.3138357	3	B	HOOD	n/a
205.3129983	3	B	METAL	n/a
211.3130709	3	B	BABY	n/a
217.312725	3	B	DIAL	n/a
