onset	duration	list	word	memory_cue
22.81872357	3	A	GUARD	remember
28.81946147	3	A	TIRE	remember
34.81845609	3	A	JOCKEY	remember
40.81987246	3	A	DATE	remember
46.81894514	3	A	SLEET	remember
52.81918712	3	A	MIXER	remember
58.81848864	3	A	WEDDING	remember
64.81915931	3	A	CUISINE	remember
70.81933437	3	A	LUNCH	remember
76.81924021	3	A	HARNESS	remember
82.81805035	3	A	CELL	remember
88.81875319	3	A	ANIMAL	remember
94.81820877	3	A	CHART	remember
100.8180766	3	A	TEAM	remember
106.8186859	3	A	TEACHER	remember
112.8189398	3	A	HOUND	remember
126.8184953	3	B	LEADER	n/a
132.8190147	3	B	ANGLE	n/a
138.819214	3	B	BRAIN	n/a
144.8181997	3	B	PARADE	n/a
150.8186111	3	B	JOURNAL	n/a
156.8182313	3	B	SIGN	n/a
162.8264457	3	B	SPONGE	n/a
168.8191514	3	B	KID	n/a
174.8186478	3	B	GRAVY	n/a
180.8181129	3	B	WINTER	n/a
186.8192528	3	B	SLAP	n/a
192.8275549	3	B	ARMY	n/a
198.8267612	3	B	MASTER	n/a
204.819549	3	B	BRONZE	n/a
210.8185223	3	B	SMILE	n/a
216.818364	3	B	OVEN	n/a
