onset	duration	list	word	memory_cue
24.61026981	3	A	RIFLE	remember
30.61081947	3	A	TRIAL	remember
36.61016957	3	A	THROAT	remember
42.61044369	3	A	DRINK	remember
48.61100211	3	A	VEHICLE	remember
54.61062001	3	A	TEMPLE	remember
60.61145368	3	A	CABIN	remember
66.61117616	3	A	ENGINE	remember
72.61087309	3	A	FARM	remember
78.61033147	3	A	DIVE	remember
84.60992027	3	A	SALTY	remember
90.61113984	3	A	TEST	remember
96.60998635	3	A	PRISON	remember
102.6101333	3	A	GIFT	remember
108.610448	3	A	DIVING	remember
114.6101487	3	A	FORT	remember
128.6103028	3	B	AERIAL	n/a
134.6104499	3	B	WEAPON	n/a
140.6108009	3	B	JUDGE	n/a
146.610451	3	B	BLONDE	n/a
152.6106349	3	B	DOLLAR	n/a
158.6104717	3	B	RAIL	n/a
164.6106183	3	B	RUSTY	n/a
170.6100325	3	B	TABLE	n/a
176.6103714	3	B	POUND	n/a
182.6108406	3	B	SPHERE	n/a
188.6108676	3	B	SPRING	n/a
194.6101829	3	B	GLOBE	n/a
200.6102973	3	B	CASH	n/a
206.6107549	3	B	POLIO	n/a
212.6191342	3	B	LION	n/a
218.6104431	3	B	CHINA	n/a
