onset	duration	list	word	memory_cue
177.5308678	3	A	FEVER	forget
185.5386458	3	A	GIANT	forget
191.537942	3	A	STABLE	forget
197.5301712	3	A	POST	forget
203.5303959	3	A	HAIR	forget
209.5299719	3	A	JELLY	forget
215.530332	3	A	MOTOR	forget
221.5383852	3	A	ARTIST	forget
227.5383873	3	A	BLADE	forget
233.5376007	3	A	OIL	forget
239.5386548	3	A	WITCH	forget
245.5305233	3	A	SLAVE	forget
251.5298723	3	A	RUBBLE	forget
257.5301972	3	A	DRILL	forget
263.5379405	3	A	BOTTLE	forget
269.5384835	3	A	WIZARD	forget
283.5383007	3	B	DIRT	n/a
289.53919	3	B	LOBBY	n/a
295.5381654	3	B	CHEST	n/a
301.5386158	3	B	PLANET	n/a
307.5382734	3	B	TOOL	n/a
313.5378782	3	B	DUSK	n/a
319.5375508	3	B	DUST	n/a
325.5375008	3	B	LETTER	n/a
331.5379566	3	B	WALKING	n/a
337.537693	3	B	INJURY	n/a
343.5377659	3	B	GALLON	n/a
349.5382129	3	B	GAS	n/a
355.5379418	3	B	CELLAR	n/a
361.5379408	3	B	AXLE	n/a
367.5384064	3	B	HOCKEY	n/a
373.5382983	3	B	SONG	n/a
