onset	duration	list	word	memory_cue
25.55372639	3	A	DANCE	remember
31.55433379	3	A	LADY	remember
37.55434664	3	A	WIDOW	remember
43.55341332	3	A	MARKET	remember
49.55374708	3	A	PAPER	remember
55.55362247	3	A	SILVER	remember
61.55440667	3	A	PERSON	remember
67.5531753	3	A	HOOD	remember
73.55349059	3	A	CATTLE	remember
79.55341704	3	A	BABY	remember
85.56209845	3	A	FRAME	remember
91.55441721	3	A	DIAL	remember
97.55372073	3	A	CORNER	remember
103.5534547	3	A	MENU	remember
109.5540398	3	A	METAL	remember
115.5543683	3	A	POOL	remember
129.554348	3	B	GUARD	n/a
135.5543807	3	B	WEDDING	n/a
141.5544224	3	B	MIXER	n/a
147.5535868	3	B	LUNCH	n/a
153.5535574	3	B	CHART	n/a
159.5544672	3	B	TEACHER	n/a
165.5543895	3	B	ANIMAL	n/a
171.5543931	3	B	TIRE	n/a
177.5542055	3	B	CUISINE	n/a
183.5544033	3	B	HOUND	n/a
189.5536125	3	B	JOCKEY	n/a
195.5536233	3	B	CELL	n/a
201.5536847	3	B	DATE	n/a
207.5541637	3	B	TEAM	n/a
213.5621466	3	B	HARNESS	n/a
219.5616406	3	B	SLEET	n/a
