onset	duration	list	word	memory_cue
22.75995687	3	A	CIRCUS	forget
28.75777525	3	A	SHADOW	forget
34.75885191	3	A	STEAM	forget
40.75779406	3	A	DINNER	forget
46.75888652	3	A	BUILDER	forget
52.7586869	3	A	PARCEL	forget
58.75881175	3	A	DAIRY	forget
64.76636139	3	A	SQUARE	forget
70.75829226	3	A	BANK	forget
76.75894859	3	A	SCARLET	forget
82.7576754	3	A	PATH	forget
88.76611003	3	A	SOCCER	forget
94.76652296	3	A	HUNTER	forget
100.7580646	3	A	TEMPEST	forget
106.7585844	3	A	NOVEL	forget
112.7681819	3	A	BLUSH	forget
126.766875	3	B	CIRCLE	n/a
132.7668671	3	B	PICTURE	n/a
138.7663668	3	B	BROTHER	n/a
144.7674546	3	B	KNIGHT	n/a
150.7662443	3	B	TEETH	n/a
156.7674301	3	B	DRAIN	n/a
162.7667438	3	B	FIRE	n/a
168.766266	3	B	GLASS	n/a
174.7664159	3	B	BIRTH	n/a
180.7669455	3	B	JURY	n/a
186.7672153	3	B	GREEN	n/a
192.7666304	3	B	SCOTCH	n/a
198.7661486	3	B	OCEAN	n/a
204.7680832	3	B	STAIR	n/a
210.7671234	3	B	COLUMN	n/a
216.767319	3	B	MORNING	n/a
