onset	duration	list	word	memory_cue
23.41702643	3	A	SQUARE	forget
29.41691026	3	A	SCARLET	forget
35.41525634	3	A	DAIRY	forget
41.41604389	3	A	CIRCUS	forget
47.42382031	3	A	TEMPEST	forget
53.41600643	3	A	STEAM	forget
59.41538116	3	A	SOCCER	forget
65.41555936	3	A	PATH	forget
71.42373415	3	A	PARCEL	forget
77.42293394	3	A	BLUSH	forget
83.41518237	3	A	BANK	forget
89.4158141	3	A	SHADOW	forget
95.42362397	3	A	HUNTER	forget
101.4236554	3	A	BUILDER	forget
107.4235236	3	A	NOVEL	forget
113.415058	3	A	DINNER	forget
127.4237843	3	B	LEADER	n/a
133.4237583	3	B	OVEN	n/a
139.4148031	3	B	ANGLE	n/a
145.4232919	3	B	GRAVY	n/a
151.4237447	3	B	KID	n/a
157.4241545	3	B	BRAIN	n/a
163.4239964	3	B	JOURNAL	n/a
169.4236484	3	B	SMILE	n/a
175.4237354	3	B	MASTER	n/a
181.4239527	3	B	SPONGE	n/a
187.4234118	3	B	SIGN	n/a
193.4238569	3	B	SLAP	n/a
199.4243126	3	B	PARADE	n/a
205.4236626	3	B	ARMY	n/a
211.4237134	3	B	BRONZE	n/a
217.423838	3	B	WINTER	n/a
