onset	duration	list	word	memory_cue
23.66089579	3	A	FLOOD	remember
29.65991656	3	A	WEATHER	remember
35.66042678	3	A	HUSBAND	remember
41.65983416	3	A	CUP	remember
47.6599463	3	A	MACHINE	remember
53.66051203	3	A	INCENSE	remember
59.65979032	3	A	DUMMY	remember
65.65990244	3	A	RULER	remember
71.65983131	3	A	CHAIN	remember
77.6597531	3	A	MANTLE	remember
83.65977016	3	A	AVENUE	remember
89.65997974	3	A	YARD	remember
95.65975687	3	A	PATIENT	remember
101.6606838	3	A	GROUND	remember
107.6599815	3	A	RECORD	remember
113.6597492	3	A	LIQUID	remember
127.6617306	3	B	PAPER	n/a
133.6607642	3	B	POOL	n/a
139.6601534	3	B	BABY	n/a
145.6615623	3	B	CORNER	n/a
151.6594694	3	B	LADY	n/a
157.6607477	3	B	MARKET	n/a
163.6597656	3	B	WIDOW	n/a
169.659912	3	B	SILVER	n/a
175.6601933	3	B	METAL	n/a
181.6600362	3	B	FRAME	n/a
187.6613427	3	B	MENU	n/a
193.6596761	3	B	PERSON	n/a
199.6597924	3	B	HOOD	n/a
205.6598932	3	B	CATTLE	n/a
211.6596035	3	B	DANCE	n/a
217.6693234	3	B	DIAL	n/a
