onset	duration	list	word	memory_cue
22.97051257	3	A	DIVING	remember
28.97007098	3	A	FARM	remember
34.96947999	3	A	RIFLE	remember
40.96996001	3	A	TEMPLE	remember
46.97055498	3	A	DRINK	remember
52.9692995	3	A	THROAT	remember
58.97050487	3	A	DIVE	remember
64.96962624	3	A	CABIN	remember
70.96963356	3	A	FORT	remember
76.96986575	3	A	GIFT	remember
82.96953416	3	A	SALTY	remember
88.96939213	3	A	ENGINE	remember
94.96981408	3	A	TRIAL	remember
100.9700887	3	A	VEHICLE	remember
106.9704402	3	A	TEST	remember
112.96989	3	A	PRISON	remember
126.9699848	3	B	TOOL	n/a
132.9698835	3	B	CHEST	n/a
138.9694264	3	B	INJURY	n/a
144.9706124	3	B	CELLAR	n/a
150.9708904	3	B	LETTER	n/a
156.9694377	3	B	HOCKEY	n/a
162.9696001	3	B	GALLON	n/a
168.9702812	3	B	GAS	n/a
174.9714605	3	B	DIRT	n/a
180.9785304	3	B	WALKING	n/a
186.9773358	3	B	DUST	n/a
192.9697847	3	B	AXLE	n/a
198.9702946	3	B	SONG	n/a
204.9773406	3	B	DUSK	n/a
210.9787938	3	B	LOBBY	n/a
216.9783433	3	B	PLANET	n/a
