onset	duration	list	word	memory_cue
23.18224902	3	A	BRANCH	forget
29.18223887	3	A	ROUND	forget
35.19021728	3	A	TAILOR	forget
41.18205661	3	A	DRESSER	forget
47.18299795	3	A	SIREN	forget
53.18251376	3	A	MERMAID	forget
59.18193583	3	A	NURSERY	forget
65.19032336	3	A	GARMENT	forget
71.19075813	3	A	LECTURE	forget
77.18189477	3	A	WRITING	forget
83.18227475	3	A	BOSOM	forget
89.19078317	3	A	MUSCLE	forget
95.19023213	3	A	HALL	forget
101.1906393	3	A	MURAL	forget
107.1915348	3	A	PRIEST	forget
113.1830147	3	A	GROCER	forget
127.1898903	3	B	BRAIN	n/a
133.1904862	3	B	LEADER	n/a
139.1901881	3	B	GRAVY	n/a
145.1901892	3	B	SMILE	n/a
151.1912277	3	B	BRONZE	n/a
157.1911287	3	B	ARMY	n/a
163.1901731	3	B	SLAP	n/a
169.1911288	3	B	OVEN	n/a
175.1902076	3	B	JOURNAL	n/a
181.1914495	3	B	SIGN	n/a
187.1902169	3	B	WINTER	n/a
193.1901583	3	B	SPONGE	n/a
199.1901361	3	B	KID	n/a
205.1903015	3	B	ANGLE	n/a
211.1906822	3	B	MASTER	n/a
217.190046	3	B	PARADE	n/a
