onset	duration	list	word	memory_cue
22.02642802	3	A	PERSON	forget
28.02706316	3	A	HOOD	forget
34.02667518	3	A	DIAL	forget
40.02626835	3	A	CORNER	forget
46.02588997	3	A	CATTLE	forget
52.02665642	3	A	MENU	forget
58.025875	3	A	SILVER	forget
64.0266461	3	A	POOL	forget
70.02653421	3	A	FRAME	forget
76.0270375	3	A	WIDOW	forget
82.02646162	3	A	DANCE	forget
88.02590886	3	A	BABY	forget
94.0341025	3	A	MARKET	forget
100.0276413	3	A	PAPER	forget
106.0261588	3	A	LADY	forget
112.0260687	3	A	METAL	forget
126.027611	3	B	MANTLE	n/a
132.0269814	3	B	GROUND	n/a
138.0259548	3	B	HUSBAND	n/a
144.026485	3	B	YARD	n/a
150.0268956	3	B	RECORD	n/a
156.0270108	3	B	DUMMY	n/a
162.0258125	3	B	LIQUID	n/a
168.0282366	3	B	CUP	n/a
174.0263167	3	B	INCENSE	n/a
180.0269539	3	B	CHAIN	n/a
186.0343104	3	B	AVENUE	n/a
192.0337916	3	B	MACHINE	n/a
198.0262197	3	B	WEATHER	n/a
204.0260279	3	B	PATIENT	n/a
210.0259278	3	B	FLOOD	n/a
216.0355018	3	B	RULER	n/a
