onset	duration	list	word	memory_cue
26.47259787	3	A	EARTH	remember
32.47236768	3	A	SPIKE	remember
38.47193986	3	A	COLONEL	remember
44.47244154	3	A	SPEAKER	remember
50.47137897	3	A	CANNON	remember
56.47152049	3	A	LAWYER	remember
62.47262621	3	A	RADIO	remember
68.4723921	3	A	IRON	remember
74.47197132	3	A	BLACK	remember
80.47240889	3	A	BELLY	remember
86.47173629	3	A	HOTEL	remember
92.4719459	3	A	PUPIL	remember
98.47224738	3	A	YELLOW	remember
104.4717192	3	A	COLOR	remember
110.4716808	3	A	UNCLE	remember
116.472031	3	A	ADULT	remember
130.4717859	3	B	FIRE	n/a
136.471635	3	B	OCEAN	n/a
142.4724252	3	B	PICTURE	n/a
148.4717803	3	B	CIRCLE	n/a
154.4721607	3	B	BROTHER	n/a
160.4723953	3	B	BIRTH	n/a
166.4715389	3	B	JURY	n/a
172.4715623	3	B	STAIR	n/a
178.4725179	3	B	COLUMN	n/a
184.4723356	3	B	MORNING	n/a
190.4718166	3	B	SCOTCH	n/a
196.472343	3	B	KNIGHT	n/a
202.4720828	3	B	GLASS	n/a
208.4724825	3	B	DRAIN	n/a
214.4725173	3	B	TEETH	n/a
220.4716155	3	B	GREEN	n/a
