onset	duration	word	list	memory_cue
22.55949182	3	JUDGE	A	forget
28.5669704	3	POUND	A	forget
34.56692496	3	DOLLAR	A	forget
40.55869448	3	GLOBE	A	forget
46.55876129	3	CASH	A	forget
52.55911072	3	SPHERE	A	forget
58.56748868	3	RUSTY	A	forget
64.56652503	3	RAIL	A	forget
70.56639972	3	TABLE	A	forget
76.55850361	3	AERIAL	A	forget
82.56747415	3	POLIO	A	forget
88.56823289	3	BLONDE	A	forget
94.56677174	3	LION	A	forget
100.5662633	3	WEAPON	A	forget
106.5665281	3	CHINA	A	forget
112.5682099	3	SPRING	A	forget
126.5676848	3	HARNESS	B	n/a
132.5674063	3	GUARD	B	n/a
138.5674442	3	CELL	B	n/a
144.5673434	3	ANIMAL	B	n/a
150.5665406	3	TEACHER	B	n/a
156.5665316	3	CUISINE	B	n/a
162.5678386	3	MIXER	B	n/a
168.566731	3	TIRE	B	n/a
174.5665695	3	CHART	B	n/a
180.5673317	3	DATE	B	n/a
186.5663688	3	JOCKEY	B	n/a
192.5669798	3	WEDDING	B	n/a
198.566419	3	SLEET	B	n/a
204.5668182	3	TEAM	B	n/a
210.5673672	3	HOUND	B	n/a
216.5675367	3	LUNCH	B	n/a
