onset	duration	word	list	memory_cue
22.56619522	3	CHAIN	A	forget
28.5666469	3	DUMMY	A	forget
34.56554989	3	FLOOD	A	forget
40.5656449	3	AVENUE	A	forget
46.56769311	3	GROUND	A	forget
52.57531357	3	YARD	A	forget
58.57364362	3	HUSBAND	A	forget
64.5668284	3	MACHINE	A	forget
70.56565261	3	MANTLE	A	forget
76.56672728	3	RULER	A	forget
82.57389821	3	RECORD	A	forget
88.57436469	3	LIQUID	A	forget
94.56671842	3	CUP	A	forget
100.5656	3	WEATHER	A	forget
106.5741358	3	PATIENT	A	forget
112.5736479	3	INCENSE	A	forget
126.5735645	3	DINNER	B	n/a
132.5744533	3	SOCCER	B	n/a
138.5752429	3	STEAM	B	n/a
144.5744821	3	HUNTER	B	n/a
150.573498	3	SHADOW	B	n/a
156.5744488	3	NOVEL	B	n/a
162.5747205	3	TEMPEST	B	n/a
168.5747808	3	BANK	B	n/a
174.5735723	3	DAIRY	B	n/a
180.5747751	3	BUILDER	B	n/a
186.5750213	3	SQUARE	B	n/a
192.5762888	3	PATH	B	n/a
198.5748016	3	SCARLET	B	n/a
204.5737358	3	CIRCUS	B	n/a
210.5735999	3	PARCEL	B	n/a
216.5737375	3	BLUSH	B	n/a
