onset	duration	list	word	memory_cue
23.93376897	3	A	TRIAL	forget
29.93429407	3	A	TEST	forget
35.93418394	3	A	TEMPLE	forget
41.93353256	3	A	DIVING	forget
47.93372573	3	A	VEHICLE	forget
53.93346982	3	A	CABIN	forget
59.9423539	3	A	FORT	forget
65.93429411	3	A	ENGINE	forget
71.93309902	3	A	SALTY	forget
77.93434244	3	A	RIFLE	forget
83.94278055	3	A	DRINK	forget
89.93380898	3	A	PRISON	forget
95.93321723	3	A	GIFT	forget
101.9338661	3	A	FARM	forget
107.942167	3	A	DIVE	forget
113.9415819	3	A	THROAT	forget
127.9420609	3	B	WEDDING	n/a
133.9412972	3	B	CHART	n/a
139.9414022	3	B	JOCKEY	n/a
145.9350084	3	B	CELL	n/a
151.942552	3	B	HARNESS	n/a
157.9414474	3	B	ANIMAL	n/a
163.9414319	3	B	DATE	n/a
169.9413099	3	B	GUARD	n/a
175.9414906	3	B	MIXER	n/a
181.9426448	3	B	TIRE	n/a
187.9414354	3	B	TEACHER	n/a
193.9422179	3	B	LUNCH	n/a
199.9421382	3	B	CUISINE	n/a
205.9414622	3	B	SLEET	n/a
211.9445956	3	B	TEAM	n/a
217.942248	3	B	HOUND	n/a
