onset	duration	list	word	memory_cue
23.01333587	3	A	DRILL	remember
29.01408938	3	A	BOTTLE	remember
35.01342201	3	A	WITCH	remember
41.01477288	3	A	SLAVE	remember
47.0140927	3	A	MOTOR	remember
53.01302568	3	A	POST	remember
59.01395368	3	A	STABLE	remember
65.01392978	3	A	WIZARD	remember
71.01323611	3	A	ARTIST	remember
77.01341266	3	A	JELLY	remember
83.01329953	3	A	OIL	remember
89.01402235	3	A	GIANT	remember
95.01400412	3	A	FEVER	remember
101.0135614	3	A	RUBBLE	remember
107.0131535	3	A	HAIR	remember
113.0134346	3	A	BLADE	remember
127.0138358	3	B	CASH	n/a
133.0224573	3	B	DOLLAR	n/a
139.0218776	3	B	BLONDE	n/a
145.0135712	3	B	SPHERE	n/a
151.0141665	3	B	LION	n/a
157.0215579	3	B	JUDGE	n/a
163.0215579	3	B	CHINA	n/a
169.0140295	3	B	RUSTY	n/a
175.0133917	3	B	GLOBE	n/a
181.0219916	3	B	POLIO	n/a
187.0227197	3	B	POUND	n/a
193.0236736	3	B	WEAPON	n/a
199.0130909	3	B	AERIAL	n/a
205.0218884	3	B	SPRING	n/a
211.0220677	3	B	RAIL	n/a
217.021264	3	B	TABLE	n/a
