onset	duration	word	list	memory_cue
23.36115213	3	FEVER	A	remember
29.36248353	3	ARTIST	A	remember
35.36149488	3	BLADE	A	remember
41.36207673	3	MOTOR	A	remember
47.3622876	3	HAIR	A	remember
53.36221386	3	JELLY	A	remember
59.36232626	3	RUBBLE	A	remember
65.36161434	3	BOTTLE	A	remember
71.36181779	3	STABLE	A	remember
77.36229821	3	OIL	A	remember
83.36144627	3	WITCH	A	remember
89.36116555	3	WIZARD	A	remember
95.36178471	3	SLAVE	A	remember
101.361679	3	POST	A	remember
107.3612217	3	DRILL	A	remember
113.3616401	3	GIANT	A	forget
127.3616829	3	TEETH	B	n/a
133.3618797	3	KNIGHT	B	n/a
139.3627368	3	SCOTCH	B	n/a
145.36251	3	FIRE	B	n/a
151.3611086	3	DRAIN	B	n/a
157.3623231	3	STAIR	B	n/a
163.36231	3	BIRTH	B	n/a
169.3611293	3	COLUMN	B	n/a
175.3623975	3	OCEAN	B	n/a
181.3635177	3	GREEN	B	n/a
187.3621452	3	GLASS	B	n/a
193.3613558	3	JURY	B	n/a
199.3631213	3	CIRCLE	B	n/a
205.3703385	3	PICTURE	B	n/a
211.3704357	3	BROTHER	B	n/a
217.3617135	3	MORNING	B	n/a
