onset	duration	word	list	memory_cue
23.00029396	3	DANCE	A	forget
29.00029576	3	DIAL	A	forget
35.00080985	3	LADY	A	forget
41.00278957	3	METAL	A	forget
47.00101875	3	FRAME	A	forget
53.0021444	3	MARKET	A	forget
59.00127483	3	MENU	A	forget
65.00060815	3	PERSON	A	forget
71.00037162	3	BABY	A	forget
77.0010647	3	WIDOW	A	forget
83.00845647	3	CORNER	A	forget
89.00013144	3	SILVER	A	forget
95.00128932	3	CATTLE	A	forget
101.0011651	3	HOOD	A	forget
107.0087455	3	POOL	A	forget
113.008622	3	PAPER	A	forget
127.000667	3	BELLY	B	n/a
133.0085211	3	ADULT	B	n/a
139.0090409	3	BLACK	B	n/a
145.009993	3	COLOR	B	n/a
151.010031	3	LAWYER	B	n/a
157.0005919	3	UNCLE	B	n/a
163.0092678	3	IRON	B	n/a
169.0087578	3	SPEAKER	B	n/a
175.0081626	3	PUPIL	B	n/a
181.0086053	3	SPIKE	B	n/a
187.0080451	3	HOTEL	B	n/a
193.0088302	3	YELLOW	B	n/a
199.0089946	3	RADIO	B	n/a
205.0097749	3	COLONEL	B	n/a
211.0092034	3	EARTH	B	n/a
217.0079924	3	CANNON	B	n/a
