onset	duration	list	word	memory_cue
23.49330534	3	A	SPHERE	remember
29.50177733	3	A	SPRING	remember
35.50238709	3	A	RUSTY	remember
41.50146954	3	A	DOLLAR	remember
47.50216217	3	A	RAIL	remember
53.50214248	3	A	AERIAL	remember
59.5012235	3	A	WEAPON	remember
65.50164912	3	A	CHINA	remember
71.50153044	3	A	GLOBE	remember
77.50231691	3	A	TABLE	remember
83.50241711	3	A	POLIO	remember
89.50159245	3	A	BLONDE	remember
95.50240168	3	A	JUDGE	remember
101.5012864	3	A	CASH	remember
107.5010432	3	A	POUND	remember
113.5022857	3	A	LION	remember
127.5018774	3	B	MARKET	n/a
133.5021059	3	B	PAPER	n/a
139.5022428	3	B	FRAME	n/a
145.5016379	3	B	DANCE	n/a
151.5015651	3	B	LADY	n/a
157.5015953	3	B	HOOD	n/a
163.5014348	3	B	POOL	n/a
169.5013994	3	B	SILVER	n/a
175.5013224	3	B	METAL	n/a
181.5014427	3	B	PERSON	n/a
187.5016522	3	B	DIAL	n/a
193.5017893	3	B	BABY	n/a
199.5025332	3	B	CATTLE	n/a
205.5014707	3	B	CORNER	n/a
211.5020003	3	B	WIDOW	n/a
217.5012307	3	B	MENU	n/as
