onset	duration	list	word	memory_cue
17.81725969	3	A	LAKE	forget
25.81579817	3	A	SCREAM	forget
31.81589481	3	A	VILLAGE	forget
37.81641736	3	A	CRYSTAL	forget
43.81644002	3	A	STAFF	forget
49.81591627	3	A	TRACTOR	forget
55.81643973	3	A	PIER	forget
61.81643981	3	A	MANOR	forget
67.81596068	3	A	ESSAY	forget
73.81621692	3	A	MONARCH	forget
79.81683877	3	A	WIRE	forget
85.81588183	3	A	IVY	forget
91.81567832	3	A	DRIVER	forget
97.81624049	3	A	PRINCE	forget
103.8156261	3	A	CLOUD	forget
109.8172216	3	A	NAVY	forget
123.8156109	3	B	DIRT	n/a
129.8162168	3	B	GALLON	n/a
135.8160804	3	B	AXLE	n/a
141.8173249	3	B	SONG	n/a
147.8170991	3	B	GAS	n/a
153.8162101	3	B	WALKING	n/a
159.8155967	3	B	LOBBY	n/a
165.8165839	3	B	INJURY	n/a
171.8172451	3	B	PLANET	n/a
177.8159029	3	B	CHEST	n/a
183.8155754	3	B	DUSK	n/a
189.8158799	3	B	CELLAR	n/a
195.8162007	3	B	DUST	n/a
201.8171786	3	B	TOOL	n/a
207.8161876	3	B	LETTER	n/a
213.8162747	3	B	HOCKEY	n/a
