onset	duration	list	word	memory_cue
24.14795156	3	A	SPEAKER	remember
30.14826449	3	A	EARTH	remember
36.15674414	3	A	IRON	remember
42.15640872	3	A	COLOR	remember
48.15614537	3	A	ADULT	remember
54.14837567	3	A	BLACK	remember
60.15647599	3	A	HOTEL	remember
66.1569127	3	A	BELLY	remember
72.15698238	3	A	SPIKE	remember
78.15675678	3	A	RADIO	remember
84.15629533	3	A	COLONEL	remember
90.15618941	3	A	UNCLE	remember
96.15622501	3	A	PUPIL	remember
102.1563015	3	A	YELLOW	remember
108.155951	3	A	LAWYER	remember
114.1560536	3	A	CANNON	remember
128.157261	3	B	GARMENT	n/a
134.1571259	3	B	BRANCH	n/a
140.1571667	3	B	MUSCLE	n/a
146.1565978	3	B	LECTURE	n/a
152.1574923	3	B	TAILOR	n/a
158.1563252	3	B	SIREN	n/a
164.1577664	3	B	DRESSER	n/a
170.1570665	3	B	HALL	n/a
176.1567997	3	B	ROUND	n/a
182.1570248	3	B	GROCER	n/a
188.1567037	3	B	WRITING	n/a
194.1558513	3	B	MERMAID	n/a
200.1565539	3	B	NURSERY	n/a
206.1568282	3	B	BOSOM	n/a
212.1573479	3	B	MURAL	n/a
218.1569042	3	B	PRIEST	n/a
