onset	duration	list	word	memory_cue
28.0690034	3	A	SODA	forget
34.06920218	3	A	LAP	forget
40.0643703	3	A	CAVERN	forget
46.07009338	3	A	CRYPT	forget
52.06920957	3	A	SIGNAL	forget
58.06912149	3	A	CROWD	forget
64.06919192	3	A	EVENING	forget
70.06949022	3	A	ULCER	forget
76.07006459	3	A	STATION	forget
82.06966706	3	A	GATE	forget
88.06884436	3	A	BREEZE	forget
94.06906366	3	A	CLAY	forget
100.069625	3	A	SALUTE	forget
106.0697372	3	A	SISTER	forget
112.0701554	3	A	PLANE	forget
118.0694915	3	A	THIMBLE	forget
132.0699102	3	B	GRAVY	n/a
138.0690678	3	B	SPONGE	n/a
144.0688001	3	B	PARADE	n/a
150.0696659	3	B	BRAIN	n/a
156.0695726	3	B	ANGLE	n/a
162.0690421	3	B	SIGN	n/a
168.0694242	3	B	SLAP	n/a
174.0690303	3	B	ARMY	n/a
180.0699139	3	B	BRONZE	n/a
186.0695282	3	B	OVEN	n/a
192.0704971	3	B	JOURNAL	n/a
198.0700034	3	B	WINTER	n/a
204.0690451	3	B	KID	n/a
210.0689948	3	B	SMILE	n/a
216.0700002	3	B	MASTER	n/a
222.0695423	3	B	LEADER	n/a
