onset	duration	list	word	memory_cue
23.22799226	3	A	BUILDER	forget
29.22080355	3	A	BLUSH	forget
35.21993011	3	A	DINNER	forget
41.22082901	3	A	BANK	forget
47.22063863	3	A	NOVEL	forget
53.22784521	3	A	HUNTER	forget
59.22862729	3	A	SCARLET	forget
65.2199629	3	A	SQUARE	forget
71.22098154	3	A	SOCCER	forget
77.22862764	3	A	PATH	forget
83.22837423	3	A	PARCEL	forget
89.2275151	3	A	TEMPEST	forget
95.22824665	3	A	SHADOW	forget
101.2207736	3	A	DAIRY	forget
107.2277833	3	A	CIRCUS	forget
113.227997	3	A	STEAM	forget
127.2275582	3	B	LUMBER	n/a
133.2283579	3	B	UNIFORM	n/a
139.2282292	3	B	VIOLET	n/a
145.2283876	3	B	PASSAGE	n/a
151.2288306	3	B	CHIEF	n/a
157.2280251	3	B	PENNY	n/a
163.2283507	3	B	BATTLE	n/a
169.2286672	3	B	DRESS	n/a
175.2286363	3	B	SMOKE	n/a
181.2293499	3	B	COAST	n/a
187.2274914	3	B	WHISPER	n/a
193.2284484	3	B	MAPLE	n/a
199.2277635	3	B	DARK	n/a
205.2275653	3	B	DOORWAY	n/a
211.2287515	3	B	SOUND	n/a
217.2287431	3	B	PARK	n/a
