onset	duration	list	word	memory_cue
23.28908689	3	A	CELLAR	remember
29.28871274	3	A	LETTER	remember
37.28867198	3	A	INJURY	remember
43.28055909	3	A	HOCKEY	remember
49.28050306	3	A	DUST	remember
55.28847157	3	A	PLANET	remember
61.28887345	3	A	GALLON	remember
67.28822835	3	A	DIRT	remember
73.28938322	3	A	SONG	remember
79.28828684	3	A	LOBBY	remember
85.2895043	3	A	GAS	remember
91.28828629	3	A	TOOL	remember
97.28824899	3	A	AXLE	remember
103.2891335	3	A	WALKING	remember
109.2888156	3	A	CHEST	remember
115.2890032	3	A	DUSK	remember
129.2882477	3	B	BIRTH	n/a
135.2895423	3	B	GLASS	n/a
141.2892243	3	B	CIRCLE	n/a
147.2892973	3	B	JURY	n/a
153.2892782	3	B	OCEAN	n/a
159.2890013	3	B	FIRE	n/a
165.2903799	3	B	DRAIN	n/a
171.2887517	3	B	BROTHER	n/a
177.288375	3	B	TEETH	n/a
183.2898411	3	B	KNIGHT	n/a
189.2894397	3	B	PICTURE	n/a
195.2892943	3	B	SCOTCH	n/a
201.2893048	3	B	GREEN	n/a
207.2882844	3	B	COLUMN	n/a
213.2887025	3	B	STAIR	n/a
219.2891384	3	B	MORNING	n/a
