onset	duration	image_type
21.9309223	0.5	scrambled_scenes
23.93012884	0.5	scrambled_scenes
25.9308359	0.5	scrambled_scenes
27.92991814	0.5	scrambled_scenes
29.93080887	0.5	scrambled_scenes
31.93080334	0.5	scrambled_scenes
33.93081001	0.5	scrambled_scenes
35.93084077	0.5	scrambled_scenes
49.93081528	0.5	scenes
51.93072419	0.5	scenes
53.93068338	0.5	scenes
55.93097	0.5	scenes
57.93082934	0.5	scenes
59.93033066	0.5	scenes
61.92989466	0.5	scenes
63.93031184	0.5	scenes
77.93067758	0.5	objects
79.93064541	0.5	objects
81.93030466	0.5	objects
83.93088803	0.5	objects
85.93032082	0.5	objects
87.93026695	0.5	objects
89.93071039	0.5	objects
91.93047741	0.5	objects
105.9305623	0.5	scenes
107.9305802	0.5	scenes
109.9305444	0.5	scenes
111.9301182	0.5	scenes
113.930036	0.5	scenes
115.9307188	0.5	scenes
117.92997	0.5	scenes
119.9300943	0.5	scenes
133.9385345	0.5	objects
135.9387467	0.5	objects
137.9384508	0.5	objects
139.9380333	0.5	objects
141.9384848	0.5	objects
143.9381843	0.5	objects
145.9301119	0.5	objects
147.9389909	0.5	objects
161.9380506	0.5	scrambled_scenes
163.9385642	0.5	scrambled_scenes
165.9402304	0.5	scrambled_scenes
167.9398523	0.5	scrambled_scenes
169.9384311	0.5	scrambled_scenes
171.9379334	0.5	scrambled_scenes
173.9310057	0.5	scrambled_scenes
175.9302389	0.5	scrambled_scenes
189.93845	0.5	scenes
191.9382832	0.5	scenes
193.9390698	0.5	scenes
195.938594	0.5	scenes
197.9396859	0.5	scenes
199.9381117	0.5	scenes
201.9380918	0.5	scenes
203.9396417	0.5	scenes
217.9392089	0.5	objects
219.9391194	0.5	objects
221.9388484	0.5	objects
223.9386511	0.5	objects
225.9407085	0.5	objects
227.9390504	0.5	objects
229.9383599	0.5	objects
231.9390989	0.5	objects
245.9382669	0.5	scrambled_scenes
247.9391653	0.5	scrambled_scenes
249.9382645	0.5	scrambled_scenes
251.9379571	0.5	scrambled_scenes
253.9391138	0.5	scrambled_scenes
255.9381311	0.5	scrambled_scenes
257.9394963	0.5	scrambled_scenes
259.9382062	0.5	scrambled_scenes
273.9392831	0.5	objects
275.9389192	0.5	objects
277.937879	0.5	objects
279.9384974	0.5	objects
281.9385713	0.5	objects
283.9391015	0.5	objects
285.938084	0.5	objects
287.938392	0.5	objects
301.9391638	0.5	scrambled_scenes
