onset	duration	list	word	memory_cue
24.00052387	3	A	LADY	forget
30.00857406	3	A	CORNER	forget
35.9998097	3	A	WIDOW	forget
42.00027517	3	A	PAPER	forget
48.00014444	3	A	CATTLE	forget
54.00837377	3	A	SILVER	forget
60.00770346	3	A	PERSON	forget
65.99982571	3	A	BABY	forget
72.00009461	3	A	DANCE	forget
78.00823793	3	A	METAL	forget
84.00797966	3	A	MENU	forget
90.00830087	3	A	HOOD	forget
95.99984976	3	A	FRAME	forget
102.0087405	3	A	MARKET	forget
108.0076574	3	A	DIAL	forget
114.0077102	3	A	POOL	forget
128.0081142	3	B	WHISPER	n/a
134.0077317	3	B	DARK	n/a
140.0087354	3	B	PARK	n/a
146.0086147	3	B	BATTLE	n/a
152.0074379	3	B	LUMBER	n/a
158.0076326	3	B	COAST	n/a
164.0086884	3	B	UNIFORM	n/a
170.0076201	3	B	CHIEF	n/a
176.0087152	3	B	SOUND	n/a
182.0084814	3	B	VIOLET	n/a
188.0083001	3	B	DRESS	n/a
194.0084089	3	B	SMOKE	n/a
200.0076933	3	B	MAPLE	n/a
206.0079403	3	B	PENNY	n/a
212.008182	3	B	PASSAGE	n/a
218.0085054	3	B	DOORWAY	n/a
