onset	duration	list	word	memory_cue
23.74542053	3	A	CAVERN	forget
29.7453856	3	A	PLANE	forget
35.74465862	3	A	SIGNAL	forget
41.74434391	3	A	STATION	forget
47.74445939	3	A	THIMBLE	forget
53.74467514	3	A	GATE	forget
59.74523557	3	A	BREEZE	forget
65.74446425	3	A	ULCER	forget
71.74480889	3	A	EVENING	forget
77.74495371	3	A	LAP	forget
83.75239151	3	A	SISTER	forget
89.74508039	3	A	CROWD	forget
95.74484877	3	A	CRYPT	forget
101.7444061	3	A	CLAY	forget
107.7524091	3	A	SODA	forget
113.7533282	3	A	SALUTE	forget
127.7446351	3	B	SOCCER	n/a
133.7522643	3	B	DAIRY	n/a
139.7522848	3	B	SHADOW	n/a
145.7442368	3	B	SCARLET	n/a
151.7450939	3	B	BLUSH	n/a
157.7532946	3	B	STEAM	n/a
163.7523388	3	B	BUILDER	n/a
169.7526709	3	B	PARCEL	n/a
175.7453861	3	B	SQUARE	n/a
181.7527052	3	B	DINNER	n/a
187.7530029	3	B	NOVEL	n/a
193.7534394	3	B	PATH	n/a
199.7532814	3	B	CIRCUS	n/a
205.7534564	3	B	BANK	n/a
211.7522401	3	B	TEMPEST	n/a
217.7529847	3	B	HUNTER	n/a
