onset	duration	list	word	memory_cue
23.64649555	3	A	LUNCH	forget
29.64708006	3	A	GUARD	forget
35.64684348	3	A	TEACHER	forget
41.64783191	3	A	CUISINE	forget
47.64706951	3	A	WEDDING	forget
53.64811636	3	A	SLEET	forget
59.64848699	3	A	JOCKEY	forget
65.64702986	3	A	HOUND	forget
71.64657677	3	A	HARNESS	forget
77.64699669	3	A	TIRE	forget
83.6464229	3	A	CELL	forget
89.64692938	3	A	ANIMAL	forget
95.64689341	3	A	TEAM	forget
101.64701	3	A	MIXER	forget
107.6462895	3	A	CHART	forget
113.6465804	3	A	DATE	forget
127.6460336	3	B	LETTER	n/a
133.6472293	3	B	DUSK	n/a
139.6468525	3	B	DIRT	n/a
145.6467317	3	B	WALKING	n/a
151.6541642	3	B	HOCKEY	n/a
157.6460502	3	B	AXLE	n/a
163.6465825	3	B	SONG	n/a
169.6468592	3	B	PLANET	n/a
175.6465589	3	B	GALLON	n/a
181.6548086	3	B	CELLAR	n/a
187.6542011	3	B	TOOL	n/a
193.6462041	3	B	INJURY	n/a
199.6462084	3	B	LOBBY	n/a
205.6465972	3	B	GAS	n/a
211.6552514	3	B	CHEST	n/a
217.6542677	3	B	DUST	n/a
