onset	duration	list	word	memory_cue
26.02635922	3	A	SPIKE	forget
32.03381153	3	A	CANNON	forget
38.03407372	3	A	BELLY	forget
44.02578416	3	A	YELLOW	forget
50.0259374	3	A	BLACK	forget
56.03491015	3	A	ADULT	forget
62.03383589	3	A	COLOR	forget
68.03361991	3	A	SPEAKER	forget
74.03375476	3	A	LAWYER	forget
80.02640865	3	A	UNCLE	forget
86.03409393	3	A	RADIO	forget
92.03438697	3	A	HOTEL	forget
98.03473813	3	A	IRON	forget
104.0343007	3	A	COLONEL	forget
110.0346137	3	A	PUPIL	forget
116.0335988	3	A	EARTH	forget
130.0345293	3	B	MONARCH	n/a
136.0336903	3	B	LAKE	n/a
142.0343321	3	B	NAVY	n/a
148.0337785	3	B	CRYSTAL	n/a
154.036724	3	B	ESSAY	n/a
160.0343424	3	B	TRACTOR	n/a
166.034477	3	B	WIRE	n/a
172.0343706	3	B	SCREAM	n/a
178.0341593	3	B	CLOUD	n/a
184.0342701	3	B	MANOR	n/a
190.0347831	3	B	DRIVER	n/a
196.0346396	3	B	PRINCE	n/a
202.0336397	3	B	IVY	n/a
208.0354714	3	B	STAFF	n/a
214.0346851	3	B	PIER	n/a
220.0334811	3	B	VILLAGE	n/a
