onset	duration	list	word	memory_cue
23.21369412	3	A	JOURNAL	remember
29.21263016	3	A	WINTER	remember
35.21313381	3	A	BRONZE	remember
41.21299742	3	A	MASTER	remember
47.21267553	3	A	SIGN	remember
53.21337874	3	A	KID	remember
59.21379267	3	A	BRAIN	remember
65.21263878	3	A	SLAP	remember
71.21253787	3	A	LEADER	remember
77.21361681	3	A	SPONGE	remember
83.21313792	3	A	GRAVY	remember
89.21291981	3	A	OVEN	remember
95.21285617	3	A	PARADE	remember
101.2131822	3	A	ANGLE	remember
107.2207024	3	A	ARMY	remember
113.2151379	3	A	SMILE	remember
127.2136662	3	B	PAPER	n/a
133.2207377	3	B	CATTLE	n/a
139.2211759	3	B	DIAL	n/a
145.2217433	3	B	FRAME	n/a
151.2135554	3	B	SILVER	n/a
157.2141464	3	B	POOL	n/a
163.2213327	3	B	HOOD	n/a
169.221111	3	B	MENU	n/a
175.2215296	3	B	DANCE	n/a
181.2207886	3	B	LADY	n/a
187.2211414	3	B	WIDOW	n/a
193.2218062	3	B	PERSON	n/a
199.2209963	3	B	BABY	n/a
205.2218378	3	B	METAL	n/a
211.2214315	3	B	MARKET	n/a
217.2216781	3	B	CORNER	n/a
