onset	duration	list	word	memory_cue
22.77947516	3	A	JURY	forget
28.78693461	3	A	BIRTH	forget
34.7864249	3	A	BROTHER	forget
40.77962721	3	A	FIRE	forget
46.77860468	3	A	PICTURE	forget
52.77976172	3	A	CIRCLE	forget
58.78713222	3	A	STAIR	forget
64.78760619	3	A	KNIGHT	forget
70.78662714	3	A	DRAIN	forget
76.77859859	3	A	GREEN	forget
82.78819614	3	A	SCOTCH	forget
88.78755343	3	A	OCEAN	forget
94.78729671	3	A	GLASS	forget
100.7873612	3	A	TEETH	forget
106.7869611	3	A	MORNING	forget
112.787083	3	A	COLUMN	forget
126.7864629	3	B	BELLY	n/a
132.7876607	3	B	LAWYER	n/a
138.7873852	3	B	SPEAKER	n/a
144.787438	3	B	IRON	n/a
150.7874843	3	B	BLACK	n/a
156.7868272	3	B	HOTEL	n/a
162.7870949	3	B	PUPIL	n/a
168.7870558	3	B	EARTH	n/a
174.7877279	3	B	UNCLE	n/a
180.7872834	3	B	RADIO	n/a
186.7866512	3	B	COLOR	n/a
192.7865021	3	B	COLONEL	n/a
198.787373	3	B	SPIKE	n/a
204.7875943	3	B	CANNON	n/a
210.7868706	3	B	YELLOW	n/a
216.787211	3	B	ADULT	n/a
