onset	duration	list	word	memory_cue
38.07450993	3	A	PICTURE	remember
44.07430049	3	A	FIRE	remember
50.07378462	3	A	KNIGHT	remember
56.07435312	3	A	CIRCLE	remember
62.07349241	3	A	DRAIN	remember
68.07432434	3	A	SCOTCH	remember
74.07431934	3	A	STAIR	remember
80.07377875	3	A	COLUMN	remember
86.07382869	3	A	BIRTH	remember
92.07458821	3	A	OCEAN	remember
98.07447245	3	A	TEETH	remember
104.0736475	3	A	GLASS	remember
110.0745077	3	A	GREEN	remember
116.0739886	3	A	MORNING	remember
122.0755279	3	A	JURY	remember
128.0733933	3	A	BROTHER	remember
142.075227	3	B	WHISPER	n/a
148.0737147	3	B	BATTLE	n/a
154.0739023	3	B	SOUND	n/a
160.0733692	3	B	DARK	n/a
166.0738509	3	B	PASSAGE	n/a
172.0740106	3	B	MAPLE	n/a
178.0734254	3	B	VIOLET	n/a
184.0759102	3	B	COAST	n/a
190.0735846	3	B	UNIFORM	n/a
196.075594	3	B	CHIEF	n/a
202.0823959	3	B	PARK	n/a
208.0737866	3	B	LUMBER	n/a
214.0745708	3	B	SMOKE	n/a
220.0739107	3	B	DOORWAY	n/a
226.0814084	3	B	DRESS	n/a
232.0736627	3	B	PENNY	n/a
