onset	duration	list	word	memory_cue
24.77386746	3	A	CHAIN	forget
30.76595307	3	A	RECORD	forget
36.77427458	3	A	PATIENT	forget
42.77505394	3	A	HUSBAND	forget
48.77383609	3	A	LIQUID	forget
54.7741543	3	A	AVENUE	forget
60.77494402	3	A	WEATHER	forget
66.77499747	3	A	MANTLE	forget
72.77466231	3	A	INCENSE	forget
78.77676134	3	A	CUP	forget
84.77513295	3	A	GROUND	forget
90.77513408	3	A	MACHINE	forget
96.77444239	3	A	DUMMY	forget
102.7751115	3	A	YARD	forget
108.7749175	3	A	FLOOD	forget
114.7742944	3	A	RULER	forget
128.7738587	3	B	GUARD	n/a
134.7738666	3	B	WEDDING	n/a
140.7743262	3	B	TEACHER	n/a
146.774687	3	B	LUNCH	n/a
152.7742845	3	B	CELL	n/a
158.7763725	3	B	CHART	n/a
164.7751094	3	B	MIXER	n/a
170.7738866	3	B	JOCKEY	n/a
176.7749462	3	B	TIRE	n/a
182.7746689	3	B	HARNESS	n/a
188.7749297	3	B	TEAM	n/a
194.7757729	3	B	DATE	n/a
200.7744368	3	B	SLEET	n/a
206.7753022	3	B	HOUND	n/a
212.7741589	3	B	ANIMAL	n/a
218.7743357	3	B	CUISINE	n/a
