onset	duration	list	word	memory_cue
22.99600309	3	A	FRAME	forget
30.9964906	3	A	PAPER	forget
36.99628272	3	A	DANCE	forget
42.99580711	3	A	METAL	forget
48.996361	3	A	CORNER	forget
54.99568001	3	A	HOOD	forget
60.99612905	3	A	CATTLE	forget
66.99712932	3	A	DIAL	forget
72.99673636	3	A	SILVER	forget
78.99565014	3	A	MARKET	forget
84.99653889	3	A	POOL	forget
90.99678461	3	A	MENU	forget
96.99675256	3	A	LADY	forget
102.9961956	3	A	WIDOW	forget
108.9962076	3	A	PERSON	forget
114.9970056	3	A	BABY	forget
129.0042227	3	B	SPRING	n/a
134.9962812	3	B	SPHERE	n/a
140.9959681	3	B	POLIO	n/a
147.0039163	3	B	WEAPON	n/a
153.0048635	3	B	BLONDE	n/a
159.0047272	3	B	JUDGE	n/a
164.9967036	3	B	RUSTY	n/a
171.0040086	3	B	TABLE	n/a
177.0041508	3	B	GLOBE	n/a
183.0039717	3	B	LION	n/a
189.0043801	3	B	POUND	n/a
195.0064945	3	B	RAIL	n/a
201.0039591	3	B	DOLLAR	n/a
207.0039609	3	B	CASH	n/a
213.0049446	3	B	CHINA	n/a
219.0041507	3	B	AERIAL	n/a
