onset	duration	list	word	memory_cue
30.83270369	3	A	CIRCUS	forget
36.83401394	3	A	NOVEL	forget
42.83339534	3	A	STEAM	forget
48.83357223	3	A	HUNTER	forget
54.83319569	3	A	BANK	forget
60.83303241	3	A	SOCCER	forget
66.83371978	3	A	BUILDER	forget
72.83350922	3	A	SCARLET	forget
78.83287516	3	A	BLUSH	forget
84.83290984	3	A	DAIRY	forget
90.83398514	3	A	SQUARE	forget
96.83310499	3	A	DINNER	forget
102.8328403	3	A	PARCEL	forget
108.8328889	3	A	PATH	forget
114.8334508	3	A	TEMPEST	forget
120.8338618	3	A	SHADOW	forget
134.8330599	3	B	PLANE	n/a
140.8337902	3	B	SISTER	n/a
146.8341354	3	B	CRYPT	n/a
152.8414439	3	B	LAP	n/a
158.8335505	3	B	SIGNAL	n/a
164.8331101	3	B	THIMBLE	n/a
170.8340075	3	B	SALUTE	n/a
176.8439907	3	B	SODA	n/a
182.8417193	3	B	GATE	n/a
188.8349241	3	B	STATION	n/a
194.8336938	3	B	CAVERN	n/a
200.8413326	3	B	ULCER	n/a
206.840638	3	B	BREEZE	n/a
212.8411793	3	B	CLAY	n/a
218.8327587	3	B	CROWD	n/a
224.8411155	3	B	EVENING	n/a
