onset	duration	list	word	memory_cue
23.9112828	3	A	CASH	remember
31.91202063	3	A	SPRING	remember
37.91102677	3	A	GLOBE	remember
43.91160615	3	A	SPHERE	remember
49.91149583	3	A	JUDGE	remember
55.91163749	3	A	LION	remember
61.91109277	3	A	CHINA	remember
67.91219179	3	A	BLONDE	remember
73.91216633	3	A	POUND	remember
79.91230463	3	A	WEAPON	remember
85.91137872	3	A	AERIAL	remember
91.91961827	3	A	RAIL	remember
97.91977879	3	A	DOLLAR	remember
103.9191556	3	A	TABLE	remember
109.911223	3	A	RUSTY	remember
115.9112931	3	A	POLIO	remember
129.9191736	3	B	SOUND	n/a
135.9200983	3	B	PENNY	n/a
141.9196888	3	B	VIOLET	n/a
147.9193946	3	B	SMOKE	n/a
153.9199052	3	B	PASSAGE	n/a
159.9201211	3	B	DOORWAY	n/a
165.9201837	3	B	PARK	n/a
171.9196533	3	B	DRESS	n/a
177.9193006	3	B	MAPLE	n/a
183.9198689	3	B	DARK	n/a
189.920325	3	B	CHIEF	n/a
195.9202958	3	B	WHISPER	n/a
201.9196021	3	B	LUMBER	n/a
207.9192501	3	B	UNIFORM	n/a
213.9195816	3	B	BATTLE	n/a
219.9192841	3	B	COAST	n/a
