onset	duration	list	word	memory_cue
26.43217054	3	A	CAFE	remember
32.43232537	3	A	EASEL	remember
38.43305592	3	A	HEXAGON	remember
44.43207146	3	A	MINER	remember
50.43307496	3	A	CLOTH	remember
56.43225811	3	A	QUEEN	remember
62.43265509	3	A	FERRY	remember
68.43283453	3	A	HEROIN	remember
74.43280837	3	A	EATING	remember
80.43317197	3	A	FLOOR	remember
86.4325045	3	A	SCRATCH	remember
92.43305189	3	A	MUSIC	remember
98.43289543	3	A	POWDER	remember
104.4321577	3	A	FRIEND	remember
110.4323002	3	A	COFFEE	remember
116.4326502	3	A	VALLEY	remember
130.4325144	3	B	DIRT	n/a
136.4403745	3	B	LOBBY	n/a
142.4412438	3	B	INJURY	n/a
148.4324852	3	B	HOCKEY	n/a
154.4327583	3	B	DUSK	n/a
160.4341644	3	B	AXLE	n/a
166.4401045	3	B	GALLON	n/a
172.4403841	3	B	LETTER	n/a
178.4413449	3	B	GAS	n/a
184.4412121	3	B	DUST	n/a
190.441721	3	B	TOOL	n/a
196.4338573	3	B	WALKING	n/a
202.4408803	3	B	CHEST	n/a
208.4423344	3	B	PLANET	n/a
214.4401324	3	B	SONG	n/a
220.4418533	3	B	CELLAR	n/a
